time_ms,iso_utc,funding_rate_hourly,premium
1780628400006,2026-06-05T03:00:00.006000+00:00,0.0000120006,-0.000403995
1780632000016,2026-06-05T04:00:00.016000+00:00,-0.0000132736,-0.000606189
1780635600021,2026-06-05T05:00:00.021000+00:00,-0.0000097526,-0.000578021
1780639200019,2026-06-05T06:00:00.019000+00:00,-0.0000508788,-0.0009070305
1780642800021,2026-06-05T07:00:00.021000+00:00,-0.0001177844,-0.0014422756
1780646400042,2026-06-05T08:00:00.042000+00:00,-0.0000430695,-0.0008445557
1780650000016,2026-06-05T09:00:00.016000+00:00,-0.0000183057,-0.0006464458
1780653600050,2026-06-05T10:00:00.050000+00:00,-0.0000297293,-0.0007378341
1780657200006,2026-06-05T11:00:00.006000+00:00,-0.0000128056,-0.0006024444
1780660800000,2026-06-05T12:00:00+00:00,-0.0000190315,-0.0006522524
1780664400043,2026-06-05T13:00:00.043000+00:00,-0.0000302639,-0.000742111
1780668000000,2026-06-05T14:00:00+00:00,-0.0000011483,-0.0005091867
1780671600009,2026-06-05T15:00:00.009000+00:00,-0.0000127544,-0.0006020351
1780675200015,2026-06-05T16:00:00.015000+00:00,-0.0000213305,-0.0006706443
1780678800002,2026-06-05T17:00:00.002000+00:00,0.0000073629,-0.0004410968
1780682400016,2026-06-05T18:00:00.016000+00:00,-0.0000319031,-0.0007552251
1780686000012,2026-06-05T19:00:00.012000+00:00,0.0000125,-0.0002686494
1780689600028,2026-06-05T20:00:00.028000+00:00,0.0000076899,-0.0004384804
1780693200020,2026-06-05T21:00:00.020000+00:00,-0.0000508366,-0.0009066929
1780696800051,2026-06-05T22:00:00.051000+00:00,0.0000125,-0.0001406103
1780700400054,2026-06-05T23:00:00.054000+00:00,0.000003603,-0.000471176
1780704000050,2026-06-06T00:00:00.050000+00:00,-0.0000292726,-0.000734181
1780707600030,2026-06-06T01:00:00.030000+00:00,-0.0000473413,-0.0008787306
1780711200008,2026-06-06T02:00:00.008000+00:00,-0.0000439717,-0.0008517735
1780714800034,2026-06-06T03:00:00.034000+00:00,-0.000021116,-0.0006689284
1780718400023,2026-06-06T04:00:00.023000+00:00,-0.0000226193,-0.000680954
1780722000060,2026-06-06T05:00:00.060000+00:00,-0.0000187149,-0.0006497191
