open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2024-10-04 02:00:00,61218.0,61272.73,60939.75,61036.14,410.02036,2024-10-04 02:59:59.999,25051551.9764847,142883,195.12779,11923192.4650721
2024-10-04 03:00:00,61036.15,61065.36,60890.0,60951.99,235.42925,2024-10-04 03:59:59.999,14350306.1384939,78540,102.52382,6249241.8704079
2024-10-04 04:00:00,60951.99,61200.0,60936.66,61001.44,423.24552,2024-10-04 04:59:59.999,25850275.3412024,72909,210.73147,12870762.988703
2024-10-04 05:00:00,61001.45,61238.0,60982.7,61224.34,365.05248,2024-10-04 05:59:59.999,22325248.2587299,59490,192.00856,11740589.4789038
2024-10-04 06:00:00,61224.34,61343.75,61100.0,61119.99,575.69204,2024-10-04 06:59:59.999,35241338.6592544,96183,285.09368,17456705.0766279
2024-10-04 07:00:00,61120.0,61544.98,61068.0,61443.64,1090.01477,2024-10-04 07:59:59.999,66876083.5011538,114485,747.11939,45850430.9307031
2024-10-04 08:00:00,61443.64,61646.27,61340.22,61449.73,807.34468,2024-10-04 08:59:59.999,49647984.0798658,106091,371.28605,22835753.4348109
2024-10-04 09:00:00,61449.73,61586.0,61302.42,61339.43,582.64883,2024-10-04 09:59:59.999,35791569.7275639,105928,232.30873,14271862.2739306
2024-10-04 10:00:00,61339.43,61432.64,61266.42,61284.01,367.21188,2024-10-04 10:59:59.999,22520617.2526488,72811,151.54857,9295558.3320601
2024-10-04 11:00:00,61284.01,61483.02,61274.0,61449.84,586.46012,2024-10-04 11:59:59.999,35997670.7098708,80635,252.71106,15515798.3891051
2024-10-04 12:00:00,61449.84,61936.0,61211.92,61932.24,2563.17863,2024-10-04 12:59:59.999,157784731.1145407,303163,1387.43135,85431733.1439072
2024-10-04 13:00:00,61932.24,62004.48,61488.1,61580.02,2047.98501,2024-10-04 13:59:59.999,126458723.4054887,390853,937.83985,57915389.5349456
2024-10-04 14:00:00,61580.02,61584.0,60753.97,61239.99,2316.23481,2024-10-04 14:59:59.999,141574341.7923887,496906,1050.89521,64227081.267603
2024-10-04 15:00:00,61240.0,61873.04,61224.0,61873.04,1573.58655,2024-10-04 15:59:59.999,96936436.766926,328757,878.80094,54127079.4534859
2024-10-04 16:00:00,61873.05,62294.87,61644.01,62244.0,1683.63251,2024-10-04 16:59:59.999,104446219.2423061,224194,942.71146,58479577.1945002
2024-10-04 17:00:00,62243.99,62340.0,61843.0,61983.32,909.37617,2024-10-04 17:59:59.999,56500593.5814092,194270,441.86772,27458144.309505
2024-10-04 18:00:00,61983.32,62360.0,61909.09,62345.0,616.8604,2024-10-04 18:59:59.999,38326574.9957478,143836,282.87259,17576986.0799232
2024-10-04 19:00:00,62344.99,62468.0,62254.37,62368.0,821.27586,2024-10-04 19:59:59.999,51219004.4545144,122598,374.43142,23351062.4319638
2024-10-04 20:00:00,62368.0,62484.85,62171.33,62407.69,523.80906,2024-10-04 20:59:59.999,32644585.3465301,80888,257.85688,16071245.6908374
2024-10-04 21:00:00,62407.7,62463.54,62274.45,62274.45,263.95326,2024-10-04 21:59:59.999,16456420.5401793,37865,106.17415,6620284.9310634
2024-10-04 22:00:00,62274.46,62350.0,62193.18,62213.14,404.20202,2024-10-04 22:59:59.999,25168902.220692,62000,175.62574,10936279.3458682
2024-10-04 23:00:00,62213.15,62213.15,61965.14,62086.0,399.29846,2024-10-04 23:59:59.999,24780133.0692686,53582,177.46128,11012573.5377505
2024-10-05 00:00:00,62086.0,62214.0,62045.97,62170.0,435.38431,2024-10-05 00:59:59.999,27057979.3446252,55052,285.95439,17773241.8105986
2024-10-05 01:00:00,62170.0,62200.0,61990.01,62069.99,323.64591,2024-10-05 01:59:59.999,20092229.2204544,49291,134.84106,8370184.882785
2024-10-05 02:00:00,62069.99,62070.0,61794.62,61812.0,332.2168,2024-10-05 02:59:59.999,20577002.2530346,49292,92.05118,5703416.9495033
2024-10-05 03:00:00,61812.01,61971.93,61689.26,61861.99,399.56844,2024-10-05 03:59:59.999,24716750.3599902,62336,223.79719,13848033.882884
2024-10-05 04:00:00,61861.99,62020.0,61824.01,61950.01,226.26091,2024-10-05 04:59:59.999,14012673.4157389,34535,126.20121,7816813.0038556
2024-10-05 05:00:00,61950.01,62157.14,61944.01,62149.47,264.66328,2024-10-05 05:59:59.999,16432333.1990569,56807,161.79461,10045553.7533027
2024-10-05 06:00:00,62149.48,62246.11,62076.19,62224.0,302.03997,2024-10-05 06:59:59.999,18771654.5315669,44351,203.65931,12656994.6362677
2024-10-05 07:00:00,62224.0,62268.28,62076.19,62076.19,259.63293,2024-10-05 07:59:59.999,16140685.1697084,36500,118.39938,7363423.5231964
2024-10-05 08:00:00,62076.2,62198.87,62076.19,62151.52,287.51516,2024-10-05 08:59:59.999,17859345.1375439,34214,134.81491,8373966.2147598
2024-10-05 09:00:00,62151.52,62326.48,62146.16,62252.0,906.59633,2024-10-05 09:59:59.999,56406726.6239452,51898,491.62855,30592951.379183
2024-10-05 10:00:00,62252.01,62269.13,62202.53,62213.84,167.45379,2024-10-05 10:59:59.999,10421693.0566199,27749,76.95339,4789238.0797043
2024-10-05 11:00:00,62213.85,62233.09,62169.53,62180.0,161.27568,2024-10-05 11:59:59.999,10032066.0459432,24232,63.67657,3960875.2350551
2024-10-05 12:00:00,62179.99,62304.0,62179.99,62302.03,230.69463,2024-10-05 12:59:59.999,14359639.3368205,33228,95.77855,5961684.9530582
2024-10-05 13:00:00,62302.02,62370.56,62100.0,62153.35,469.51747,2024-10-05 13:59:59.999,29222965.7576146,70700,193.35846,12037162.533448
2024-10-05 14:00:00,62153.35,62239.09,62100.07,62196.01,391.8712,2024-10-05 14:59:59.999,24362953.7262338,48363,187.36151,11647156.9893697
2024-10-05 15:00:00,62196.0,62220.0,62119.2,62167.66,225.57254,2024-10-05 15:59:59.999,14022652.7222358,41918,75.27671,4680064.0296792
2024-10-05 16:00:00,62167.65,62180.0,61958.39,61958.39,558.60491,2024-10-05 16:59:59.999,34677784.9146904,65378,203.47147,12633604.3081355
2024-10-05 17:00:00,61958.4,62030.0,61908.0,62016.01,222.1835,2024-10-05 17:59:59.999,13770264.3814765,51994,103.81454,6434116.3295371
2024-10-05 18:00:00,62016.01,62050.0,61840.01,61864.0,274.26427,2024-10-05 18:59:59.999,16981485.2250929,67355,119.28188,7384871.8228926
2024-10-05 19:00:00,61864.0,61900.0,61790.0,61848.48,353.76316,2024-10-05 19:59:59.999,21876369.6331417,58031,154.73908,9569420.798618
2024-10-05 20:00:00,61848.48,61848.49,61700.0,61723.38,359.51629,2024-10-05 20:59:59.999,22204061.3148953,61987,112.75646,6963922.3810518
2024-10-05 21:00:00,61723.39,61939.4,61706.0,61857.64,250.4932,2024-10-05 21:59:59.999,15494166.7628226,56896,119.81256,7409990.6195907
2024-10-05 22:00:00,61857.65,62089.99,61850.29,62039.52,231.51808,2024-10-05 22:59:59.999,14352024.5556144,60147,116.50898,7222029.7516424
2024-10-05 23:00:00,62039.52,62100.0,61980.33,62058.0,173.20865,2024-10-05 23:59:59.999,10742961.6530461,40921,94.62341,5869056.8861513
2024-10-06 00:00:00,62058.01,62088.17,61888.46,61920.0,191.30107,2024-10-06 00:59:59.999,11850959.7900151,45425,82.66852,5121289.6807883
2024-10-06 01:00:00,61919.99,62150.0,61919.99,62081.01,247.54462,2024-10-06 01:59:59.999,15361630.3388104,50380,157.28735,9760353.7460526
2024-10-06 02:00:00,62081.01,62115.99,61940.11,61966.01,199.51399,2024-10-06 02:59:59.999,12371665.8975652,36246,97.88209,6069412.8370783
2024-10-06 03:00:00,61966.01,62020.0,61876.0,61878.66,244.29144,2024-10-06 03:59:59.999,15129309.9330783,35191,83.42517,5167603.0444977
2024-10-06 04:00:00,61878.66,61966.25,61798.97,61878.03,273.7521,2024-10-06 04:59:59.999,16932614.5042775,37980,119.05833,7364610.6577233
2024-10-06 05:00:00,61878.03,61974.69,61845.07,61938.51,150.78816,2024-10-06 05:59:59.999,9335804.8034127,39689,84.93655,5258576.7815115
2024-10-06 06:00:00,61938.51,62010.0,61879.92,61961.99,390.35484,2024-10-06 06:59:59.999,24184032.1719207,35755,206.29454,12781821.6787286
2024-10-06 07:00:00,61962.0,62001.99,61948.02,61949.01,92.16551,2024-10-06 07:59:59.999,5711681.161948,22112,52.95346,3281663.16673
2024-10-06 08:00:00,61949.01,62070.0,61922.0,61989.81,243.41255,2024-10-06 08:59:59.999,15089808.4518661,34305,103.25905,6401255.9706831
2024-10-06 09:00:00,61989.81,62176.75,61976.52,62066.38,280.81292,2024-10-06 09:59:59.999,17433524.3842508,32430,198.20118,12306068.2179372
2024-10-06 10:00:00,62066.38,62079.0,62006.55,62023.83,218.64231,2024-10-06 10:59:59.999,13564451.9528,28891,83.79692,5198152.8371618
2024-10-06 11:00:00,62023.84,62145.0,62012.0,62101.92,193.91457,2024-10-06 11:59:59.999,12039869.2075059,33044,99.05606,6149743.1026511
2024-10-06 12:00:00,62101.92,62230.0,62065.31,62222.0,499.05718,2024-10-06 12:59:59.999,31010713.0935248,42585,294.65318,18310383.4615409
2024-10-06 13:00:00,62221.99,62371.05,62221.99,62257.73,684.22241,2024-10-06 13:59:59.999,42628300.7924562,72787,447.00545,27849228.2713246
2024-10-06 14:00:00,62257.73,62777.0,62196.0,62715.99,968.70462,2024-10-06 14:59:59.999,60541713.7172547,143631,515.28805,32223965.1113141
2024-10-06 15:00:00,62716.0,62766.22,62444.0,62720.01,911.02124,2024-10-06 15:59:59.999,57039658.4992217,128332,546.08076,34192949.1424271
2024-10-06 16:00:00,62720.01,62927.87,62597.5,62602.0,709.17287,2024-10-06 16:59:59.999,44531069.8186039,120324,378.90168,23797578.8463138
2024-10-06 17:00:00,62602.01,62760.01,62550.0,62591.2,364.35832,2024-10-06 17:59:59.999,22835482.2272918,79298,213.83402,13403619.301176
2024-10-06 18:00:00,62591.2,62765.0,62590.91,62718.36,250.01336,2024-10-06 18:59:59.999,15675603.6478986,70107,147.82267,9267279.4607206
2024-10-06 19:00:00,62718.37,62975.0,62590.0,62631.38,358.18016,2024-10-06 19:59:59.999,22495144.6089567,90858,173.9528,10927921.1732292
2024-10-06 20:00:00,62631.38,62753.86,62585.0,62620.62,219.43399,2024-10-06 20:59:59.999,13751842.6544446,66049,117.15135,7342378.035212
2024-10-06 21:00:00,62620.62,62658.23,62302.0,62303.03,433.39775,2024-10-06 21:59:59.999,27078869.7868257,87664,166.15299,10381005.7499251
2024-10-06 22:00:00,62303.04,62624.03,62303.03,62618.85,231.96477,2024-10-06 22:59:59.999,14495349.772386,86904,133.37861,8334601.3902345
2024-10-06 23:00:00,62618.84,62912.33,62618.84,62819.91,550.84102,2024-10-06 23:59:59.999,34580533.261036,136566,295.25846,18535101.1653834
2024-10-07 00:00:00,62819.91,63718.84,62657.44,63677.98,1704.3351,2024-10-07 00:59:59.999,107736519.6943804,305293,1038.57573,65653418.0427028
2024-10-07 01:00:00,63677.98,63970.19,63660.0,63819.0,1335.9692,2024-10-07 01:59:59.999,85276380.6692638,205219,694.30126,44322879.4483329
2024-10-07 02:00:00,63819.0,63948.46,63597.22,63637.29,773.41171,2024-10-07 02:59:59.999,49337603.5488823,123924,316.54873,20194826.6661733
2024-10-07 03:00:00,63637.29,63769.84,63345.97,63530.51,642.28798,2024-10-07 03:59:59.999,40817836.4630384,85043,297.02233,18878947.4809277
2024-10-07 04:00:00,63530.51,63670.0,63462.88,63466.66,309.55226,2024-10-07 04:59:59.999,19682936.0342201,46908,130.96862,8328486.485312
2024-10-07 05:00:00,63466.67,63628.0,63300.48,63380.01,485.61573,2024-10-07 05:59:59.999,30826558.6386721,67035,216.55324,13748689.533138
2024-10-07 06:00:00,63380.0,63753.91,63312.0,63706.0,653.60056,2024-10-07 06:59:59.999,41548090.0350351,86586,381.38558,24247274.3063621
2024-10-07 07:00:00,63705.99,63710.56,63452.01,63531.99,666.26925,2024-10-07 07:59:59.999,42333322.8203131,85535,199.75946,12695803.2255774
2024-10-07 08:00:00,63532.0,63706.0,63520.0,63554.62,529.85189,2024-10-07 08:59:59.999,33702823.1374526,86782,247.91135,15769196.6153976
2024-10-07 09:00:00,63554.62,63554.63,63088.0,63210.83,1154.64233,2024-10-07 09:59:59.999,73032587.6988777,184285,534.93995,33824419.1071363
2024-10-07 10:00:00,63210.82,63222.0,62865.09,62891.48,1095.22985,2024-10-07 10:59:59.999,69025231.188638,159285,459.73885,28977789.3122559
2024-10-07 11:00:00,62891.49,63179.99,62649.95,63135.44,1677.47151,2024-10-07 11:59:59.999,105487022.3946997,189914,1069.85025,67287182.3006642
2024-10-07 12:00:00,63135.45,63135.45,62834.03,62883.33,724.06922,2024-10-07 12:59:59.999,45602839.6890325,145045,288.72166,18184956.5984476
2024-10-07 13:00:00,62883.32,63566.67,62825.37,63457.36,1393.04464,2024-10-07 13:59:59.999,88072664.9186597,349080,781.70643,49416012.7567075
2024-10-07 14:00:00,63457.37,64478.19,63457.37,63991.89,3989.25639,2024-10-07 14:59:59.999,255536881.67865,533816,2075.83883,132947778.3924492
2024-10-07 15:00:00,63991.89,63995.0,63525.0,63651.6,1496.13836,2024-10-07 15:59:59.999,95365327.3180558,359817,704.51664,44906055.829885
2024-10-07 16:00:00,63651.59,63874.65,63427.96,63819.9,793.57942,2024-10-07 16:59:59.999,50549844.08245,256037,377.30496,24042291.6081632
2024-10-07 17:00:00,63819.91,63906.57,63519.99,63819.99,751.04511,2024-10-07 17:59:59.999,47834415.8574878,176713,370.42999,23601703.5898781
2024-10-07 18:00:00,63820.0,63822.49,62735.9,62848.0,1494.26538,2024-10-07 18:59:59.999,94402680.6954375,360769,580.15783,36658233.8541392
