arm,width,width_pct,envelope,envelope_bps,window,hours,net_usd,per_day_usd,lp_fees_usd,il_usd,basket_delta_usd,lp_value_change_usd,onchain_cost_usd,hedge_price_pnl_usd,funding_usd,rehedge_notional_usd,swapped_notional_usd,n_recenters,n_rehedges,volume_usd,volume_in_range_usd,n_swaps,seconds_out_of_range
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,full,2855.9938888888887,-3558.5085243041,-29.903496963197114,5359.542566114437,-6113.72104898764,251.1697887635828,-5862.551260224085,2380.5036209062923,-251.16978876127055,10.18837215823008,521652.39505422977,4027400.9173739823,7191,7193,5444651387.855416,5367603858.513735,3434126,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-05,744.0,-500.2207557658557,-16.136153411801796,842.0187563746149,-904.8248600554583,-20.939230315054715,-925.764090370513,371.0335010348235,20.93923031571232,2.8412670797271695,83200.0217915548,628467.0669928688,1111,1112,1615414638.9706728,1601137416.6318595,575611,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-06,720.0,-1472.1616922995065,-49.07205640998355,2292.606086036544,-2568.0658559563635,-11.043739576900975,-2579.891226280675,1013.2207180087975,11.599143368290699,1.1596273998327975,221652.1692484397,1715044.5179608124,3051,3051,1514413252.6110125,1497240133.9821258,1405257,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-07,744.0,-890.7029560589094,-28.732353421255144,1160.9567470819875,-1452.970007845215,119.4416757223645,-1333.3062113560684,510.7715216781455,-119.57148037014001,3.5488442860747593,110047.27646949259,863583.0682408252,1550,1550,1169515005.643973,1136178534.856471,783542,0.0
always_in_w6,6.0,0.0030043540627415766,pessimistic,8.32,2026-08,647.9938888888889,-695.423120179813,-25.756654762491692,1063.960976621282,-1187.8603251306085,163.711082933174,-1023.5897322168145,485.47788018451524,-164.13668207513385,2.638633392595349,106752.92754474378,820306.2641794677,1479,1480,1145308490.6297548,1133047773.0432866,669716,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,full,2855.9938888888887,-1812.773401427062,-15.233422523594935,3244.9759614182526,-4099.53429619746,108.90166331452758,-3990.632632882939,943.5941815288636,-108.90166331496444,10.872193251977457,128493.33856111352,1588887.4559240837,2941,2943,5444641880.183741,5403637562.432175,3434112,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-05,744.0,-219.57756649568734,-7.083147306312495,507.8867122504249,-584.8902155830168,-45.563512066543126,-630.4537276495599,141.6420119987538,45.5635120665152,3.0002431767508098,19820.03196101087,238727.3928200854,438,439,1614224543.7247095,1607927202.8420508,574983,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-06,720.0,-796.5507465792502,-26.551691552641675,1388.238414493397,-1761.4448604022339,-84.86820177152515,-1847.113900254607,413.4211345940401,85.53324026747224,1.2464710866796012,55614.1006963308,696409.1185141433,1286,1286,1515594362.7199752,1507490104.4577837,1405872,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-07,744.0,-511.11112804069506,-16.487455743248226,705.0331776195477,-1008.1765190331417,94.24660431373218,-913.720118964349,206.2776943121877,-94.40098448020461,3.7809554227701594,27855.157894514206,347200.6582195683,645,645,1169515005.6439705,1147627119.3473158,783542,0.0
always_in_w10,10.0,0.005012269623050569,optimistic,1.984,2026-08,647.9938888888889,-285.5339603114329,-10.575431597394951,643.8176570548794,-745.0227011790698,145.08677283886368,-599.3448860144226,182.25334062388265,-145.59743116874722,2.8445235657769063,25204.048009257753,306550.2863702864,572,573,1145307968.0950828,1140593135.7850049,669715,0.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,full,2855.9938888888887,-1830.4368153083685,-15.381854890625062,3244.9759614182526,-4099.53429619746,108.90166331452758,-3990.632632882939,943.5941815288636,-108.90166331496444,10.872193251977457,128493.33856111352,1588887.4559240837,2941,2943,5444641880.183741,5403637562.432175,3434112,0.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-05,744.0,-222.30213908122687,-7.171036744555705,507.8867122504249,-584.8902155830168,-45.563512066543126,-630.4537276495599,141.6420119987538,45.5635120665152,3.0002431767508098,19820.03196101087,238727.3928200854,438,439,1614224543.7247095,1607927202.8420508,574983,0.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-06,720.0,-804.1957722999318,-26.80652574333106,1388.238414493397,-1761.4448604022339,-84.86820177152515,-1847.113900254607,413.4211345940401,85.53324026747224,1.2464710866796012,55614.1006963308,696409.1185141433,1286,1286,1515594362.7199752,1507490104.4577837,1405872,0.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-07,744.0,-514.9402540337592,-16.610975936572878,705.0331776195477,-1008.1765190331417,94.24660431373218,-913.720118964349,206.2776943121877,-94.40098448020461,3.7809554227701594,27855.157894514206,347200.6582195683,645,645,1169515005.6439705,1147627119.3473158,783542,0.0
always_in_w10,10.0,0.005012269623050569,central,3.3586560000000003,2026-08,647.9938888888889,-288.99864989345434,-10.70375464394574,643.8176570548794,-745.0227011790698,145.08677283886368,-599.3448860144226,182.25334062388265,-145.59743116874722,2.8445235657769063,25204.048009257753,306550.2863702864,572,573,1145307968.0950828,1140593135.7850049,669715,0.0
always_in_w10,10.0,0.005012269623050569,pessimistic,8.32,full,2855.9938888888887,-1894.1867807393835,-15.917570032137357,3244.9759614182526,-4099.53429619746,108.90166331452758,-3990.632632882939,943.5941815288636,-108.90166331496444,10.872193251977457,128493.33856111352,1588887.4559240837,2941,2943,5444641880.183741,5403637562.432175,3434112,0.0
always_in_w10,10.0,0.005012269623050569,pessimistic,8.32,2026-05,744.0,-232.1355387461838,-7.488243185360768,507.8867122504249,-584.8902155830168,-45.563512066543126,-630.4537276495599,141.6420119987538,45.5635120665152,3.0002431767508098,19820.03196101087,238727.3928200854,438,439,1614224543.7247095,1607927202.8420508,574983,0.0
