call_block_number,call_block_time,contract_address,output_feeProtocol,output_sqrtPriceX96,output_tick
23268252,2025-09-01 12:21:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5253903867283164705687287,-192432
23268257,2025-09-01 12:22:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5253549411664925971853312,-192434
23268261,2025-09-01 12:23:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5250761525798136163518173,-192444
23268275,2025-09-01 12:26:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5252800571139196395357301,-192437
23268309,2025-09-01 12:33:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5254722309134417268556729,-192429
23268342,2025-09-01 12:39:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5254805439750019752140299,-192429
23268391,2025-09-01 12:49:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255103691512704569504249,-192428
23268391,2025-09-01 12:49:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255103691512704569504249,-192428
23268391,2025-09-01 12:49:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255103691512704569504249,-192428
23268391,2025-09-01 12:49:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255103691512704569504249,-192428
23268391,2025-09-01 12:49:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255103691512704569504249,-192428
23268396,2025-09-01 12:50:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255227169723398909337981,-192427
23268396,2025-09-01 12:50:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255227169723398909337981,-192427
23268421,2025-09-01 12:55:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255060070300674123664331,-192428
23268421,2025-09-01 12:55:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255060070300674123664331,-192428
23268421,2025-09-01 12:55:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255060070300674123664331,-192428
23268425,2025-09-01 12:56:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255032187772475287086034,-192428
23268425,2025-09-01 12:56:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255032187772475287086034,-192428
23268425,2025-09-01 12:56:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255032187772475287086034,-192428
23268452,2025-09-01 13:01:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255051585564401122397693,-192428
23268484,2025-09-01 13:08:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255077724405872002666991,-192428
23268486,2025-09-01 13:08:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255209059302208839098207,-192427
23268487,2025-09-01 13:08:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255241377915908113614692,-192427
23268504,2025-09-01 13:12:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255674091455080675953251,-192426
23268504,2025-09-01 13:12:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255368757299506994585155,-192427
23268532,2025-09-01 13:17:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5255674091455080675953251,-192426
23268580,2025-09-01 13:27:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5260656667536350673285037,-192407
23268617,2025-09-01 13:34:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5260641235536212215365057,-192407
23268739,2025-09-01 13:59:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5244758745071848097475982,-192467
23268817,2025-09-01 14:15:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5247514703034034695445777,-192457
23268851,2025-09-01 14:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248083654822672574521580,-192455
23268851,2025-09-01 14:21:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248083654822672574521580,-192455
23268885,2025-09-01 14:28:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248127646529425822399442,-192454
23268939,2025-09-01 14:39:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248130477803400921983375,-192454
23269016,2025-09-01 14:55:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248130167208718510215452,-192454
23269022,2025-09-01 14:56:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248130281777931124613496,-192454
23269083,2025-09-01 15:08:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5250237666950350499087745,-192446
23269083,2025-09-01 15:08:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5250188847091021480048666,-192447
23269111,2025-09-01 15:14:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248543107124338088620211,-192453
23269140,2025-09-01 15:20:35.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248573772009381221914667,-192453
23269148,2025-09-01 15:22:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248906003151261117174506,-192451
23269151,2025-09-01 15:22:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248906003151261117174506,-192451
23269156,2025-09-01 15:23:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5248940568147268396261038,-192451
23269229,2025-09-01 15:38:23.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5241440282198129716348039,-192480
23269238,2025-09-01 15:40:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5241440313297369678337232,-192480
23269302,2025-09-01 15:52:59.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5232549335642871748514259,-192514
23269331,2025-09-01 15:58:47.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5231974310468655413740532,-192516
23269358,2025-09-01 16:04:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5231973084502424992729853,-192516
23269378,2025-09-01 16:08:11.000 UTC,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,0,5231965107899390538164610,-192516
