funding_time_ms,iso_utc,funding_rate_8h,mark_price
1643932800018,2022-02-04T00:00:00.018000+00:00,-0.00006083,
1643961600005,2022-02-04T08:00:00.005000+00:00,0.00003349,
1643990400010,2022-02-04T16:00:00.010000+00:00,0.00010000,
1644019200014,2022-02-05T00:00:00.014000+00:00,0.00002818,
1644048000000,2022-02-05T08:00:00+00:00,0.00010000,
1644076800000,2022-02-05T16:00:00+00:00,0.00010000,
1644105600000,2022-02-06T00:00:00+00:00,0.00010000,
1644134400000,2022-02-06T08:00:00+00:00,0.00010000,
1644163200000,2022-02-06T16:00:00+00:00,0.00010000,
1644192000003,2022-02-07T00:00:00.003000+00:00,0.00010000,
1644220800014,2022-02-07T08:00:00.014000+00:00,0.00010000,
1644249600003,2022-02-07T16:00:00.003000+00:00,0.00010000,
1644278400001,2022-02-08T00:00:00.001000+00:00,0.00010000,
1644307200003,2022-02-08T08:00:00.003000+00:00,0.00010000,
1644336000002,2022-02-08T16:00:00.002000+00:00,0.00010000,
1644364800000,2022-02-09T00:00:00+00:00,0.00010000,
1644393600005,2022-02-09T08:00:00.005000+00:00,0.00010000,
1644422400001,2022-02-09T16:00:00.001000+00:00,0.00010000,
1644451200012,2022-02-10T00:00:00.012000+00:00,0.00004750,
1644480000000,2022-02-10T08:00:00+00:00,0.00009940,
1644508800006,2022-02-10T16:00:00.006000+00:00,0.00009358,
1644537600000,2022-02-11T00:00:00+00:00,-0.00000796,
1644566400009,2022-02-11T08:00:00.009000+00:00,0.00007324,
1644595200015,2022-02-11T16:00:00.015000+00:00,0.00001573,
1644624000020,2022-02-12T00:00:00.020000+00:00,0.00010000,
1644652800001,2022-02-12T08:00:00.001000+00:00,0.00010000,
1644681600007,2022-02-12T16:00:00.007000+00:00,0.00010000,
1644710400022,2022-02-13T00:00:00.022000+00:00,0.00005313,
1644739200001,2022-02-13T08:00:00.001000+00:00,0.00002652,
1644768000007,2022-02-13T16:00:00.007000+00:00,0.00000662,
1644796800005,2022-02-14T00:00:00.005000+00:00,0.00004573,
1644825600013,2022-02-14T08:00:00.013000+00:00,0.00009889,
1644854400019,2022-02-14T16:00:00.019000+00:00,0.00008712,
1644883200012,2022-02-15T00:00:00.012000+00:00,0.00010000,
1644912000005,2022-02-15T08:00:00.005000+00:00,-0.00005376,
1644940800011,2022-02-15T16:00:00.011000+00:00,-0.00001105,
1644969600009,2022-02-16T00:00:00.009000+00:00,0.00010000,
1644998400001,2022-02-16T08:00:00.001000+00:00,0.00010000,
1645027200014,2022-02-16T16:00:00.014000+00:00,0.00010000,
1645056000018,2022-02-17T00:00:00.018000+00:00,0.00008620,
1645084800000,2022-02-17T08:00:00+00:00,0.00010000,
1645113600010,2022-02-17T16:00:00.010000+00:00,0.00010000,
1645142400000,2022-02-18T00:00:00+00:00,0.00004188,
1645171200002,2022-02-18T08:00:00.002000+00:00,-0.00001595,
1645200000000,2022-02-18T16:00:00+00:00,0.00010000,
1645228800007,2022-02-19T00:00:00.007000+00:00,0.00010000,
1645257600000,2022-02-19T08:00:00+00:00,0.00010000,
1645286400023,2022-02-19T16:00:00.023000+00:00,0.00010000,
1645315200001,2022-02-20T00:00:00.001000+00:00,0.00009519,
1645344000003,2022-02-20T08:00:00.003000+00:00,0.00007487,
1645372800001,2022-02-20T16:00:00.001000+00:00,0.00006314,
1645401600000,2022-02-21T00:00:00+00:00,0.00010000,
1645430400001,2022-02-21T08:00:00.001000+00:00,0.00007423,
1645459200005,2022-02-21T16:00:00.005000+00:00,-0.00002658,
1645488000005,2022-02-22T00:00:00.005000+00:00,-0.00003787,
1645516800000,2022-02-22T08:00:00+00:00,-0.00000025,
1645545600000,2022-02-22T16:00:00+00:00,-0.00005540,
